study_id,kernel,boundary_pixels,white_boundary_pixels,white_boundary_pct
18_03,9,779,12,1.5404364569961488
18_03,10,774,12,1.550387596899225
19_01,0,1167,787,67.43787489288775
19_01,5,1142,141,12.34676007005254
19_01,9,1117,9,0.8057296329453895
19_01,10,1109,9,0.8115419296663661
19_02,0,1224,707,57.76143790849673
19_02,5,1198,285,23.78964941569282
19_02,9,1178,0,0.0
19_02,10,1173,0,0.0
19_03,0,996,457,45.88353413654618
19_03,5,973,301,30.93525179856115
19_03,9,952,0,0.0
19_03,10,947,0,0.0
19_04,0,714,268,37.53501400560224
19_04,5,693,200,28.86002886002886
19_04,9,672,0,0.0
19_04,10,667,0,0.0
20_01,0,1166,531,45.54030874785592
20_01,5,1142,308,26.970227670753065
20_01,9,1122,20,1.7825311942959001
20_01,10,1117,22,1.9695613249776187
20_02,0,780,263,33.717948717948715
20_02,5,756,229,30.29100529100529
20_02,9,732,16,2.185792349726776
20_02,10,724,11,1.5193370165745856
20_03,0,773,390,50.45278137128072
20_03,5,747,212,28.380187416331996
20_03,9,724,10,1.3812154696132597
20_03,10,718,10,1.392757660167131
21_01,0,596,271,45.46979865771812
21_01,5,580,153,26.379310344827587
21_01,9,562,8,1.4234875444839858
21_01,10,558,8,1.4336917562724014
22_01,0,1054,518,49.146110056926
22_01,5,1030,330,32.03883495145631
22_01,9,1010,1,0.09900990099009901
22_01,10,1006,1,0.09940357852882704
22_02,0,860,408,47.44186046511628
22_02,5,835,284,34.01197604790419
22_02,9,811,0,0.0
22_02,10,803,0,0.0
22_03,0,1734,641,36.96655132641292
22_03,5,1711,436,25.482174167153712
22_03,9,1688,22,1.3033175355450237
22_03,10,1682,22,1.3079667063020215
23_01,0,751,388,51.66444740346205
23_01,5,725,171,23.586206896551722
23_01,9,699,0,0.0
23_01,10,692,0,0.0
24_01,0,1377,833,60.49382716049383
24_01,5,1355,265,19.55719557195572
24_01,9,1328,0,0.0
24_01,10,1323,0,0.0
24_02,0,997,572,57.37211634904714
24_02,5,968,293,30.268595041322314
24_02,9,940,0,0.0
24_02,10,932,0,0.0
24_03,0,608,275,45.23026315789474
24_03,5,578,210,36.332179930795846
24_03,9,550,0,0.0
24_03,10,542,0,0.0
25_01,0,462,226,48.917748917748916
25_01,5,442,91,20.58823529411765
25_01,9,421,0,0.0
25_01,10,415,0,0.0
26_01,0,510,227,44.509803921568626
26_01,5,481,111,23.076923076923077
26_01,9,450,12,2.6666666666666665
26_01,10,442,12,2.7149321266968327
26_02,0,649,346,53.312788906009246
26_02,5,615,180,29.26829268292683
26_02,9,573,0,0.0
26_02,10,564,0,0.0
27_01,0,629,241,38.314785373608906
27_01,5,594,136,22.895622895622896
27_01,9,562,0,0.0
27_01,10,553,0,0.0
27_02,0,664,365,54.96987951807229
27_02,5,644,207,32.142857142857146
27_02,9,623,0,0.0
27_02,10,618,0,0.0
28_01,0,516,308,59.689922480620154
28_01,5,487,117,24.024640657084188
28_01,9,457,1,0.2188183807439825
28_01,10,452,1,0.22123893805309736
28_02,0,1185,607,51.22362869198312
28_02,5,1166,300,25.728987993138936
28_02,9,1146,0,0.0
28_02,10,1142,0,0.0
28_03,0,378,192,50.79365079365079
28_03,5,351,92,26.210826210826212
28_03,9,323,6,1.8575851393188854
28_03,10,315,0,0.0
29_01,0,823,402,48.8456865127582
29_01,5,788,223,28.299492385786802
29_01,9,755,21,2.781456953642384
29_01,10,746,15,2.0107238605898123
29_02,0,780,441,56.53846153846154
29_02,5,757,167,22.060766182298547
29_02,9,733,6,0.8185538881309686
29_02,10,726,3,0.4132231404958678
29_03,0,878,379,43.16628701594533
29_03,5,857,242,28.23803967327888
29_03,9,838,5,0.5966587112171837
29_03,10,832,5,0.6009615384615384
29_04,0,1058,383,36.20037807183365
29_04,5,1024,289,28.22265625
29_04,9,983,7,0.7121057985757884
29_04,10,974,7,0.7186858316221766
30_01,0,882,460,52.15419501133787
30_01,5,859,204,23.748544819557626
30_01,9,836,0,0.0
30_01,10,829,0,0.0
30_02,0,652,312,47.852760736196316
30_02,5,636,173,27.20125786163522
30_02,9,614,0,0.0
30_02,10,610,0,0.0
31_01,0,1177,651,55.310110450297366
31_01,5,1138,194,17.047451669595784
31_01,9,1099,6,0.545950864422202
31_01,10,1089,2,0.18365472910927455
32_01,0,531,146,27.495291902071564
32_01,5,507,140,27.613412228796843
32_01,9,480,0,0.0
32_01,10,472,0,0.0
33_01,0,551,313,56.80580762250454
33_01,5,528,132,25.0
33_01,9,507,12,2.366863905325444
33_01,10,502,12,2.3904382470119523
33_02,0,502,228,45.418326693227094
33_02,5,480,96,20.0
33_02,9,456,0,0.0
33_02,10,451,0,0.0
33_03,0,341,188,55.131964809384165
33_03,5,321,95,29.595015576323988
33_03,9,301,0,0.0
33_03,10,294,0,0.0
34_01,0,644,286,44.409937888198755
34_01,5,624,195,31.25
34_01,9,606,0,0.0
34_01,10,601,0,0.0
34_03,0,812,417,51.354679802955665
34_03,5,784,144,18.367346938775512
34_03,9,757,0,0.0
34_03,10,751,0,0.0
35_01,0,429,285,66.43356643356644
35_01,5,406,55,13.54679802955665
35_01,9,377,0,0.0
35_01,10,371,0,0.0
35_02,0,618,370,59.8705501618123
35_02,5,595,128,21.51260504201681
35_02,9,575,0,0.0
35_02,10,568,0,0.0
36_01,0,786,467,59.4147582697201
36_01,5,758,151,19.92084432717678
36_01,9,731,0,0.0
36_01,10,724,0,0.0
36_02,0,606,329,54.29042904290429
36_02,5,585,171,29.23076923076923
36_02,9,563,0,0.0
36_02,10,558,0,0.0
37_01,0,1266,471,37.203791469194314
37_01,5,1231,407,33.0625507717303
37_01,9,1202,0,0.0
37_01,10,1194,0,0.0
37_02,0,906,339,37.41721854304636
37_02,5,882,293,33.21995464852608
37_02,9,861,0,0.0
37_02,10,855,0,0.0
37_03,0,723,362,50.06915629322268
37_03,5,700,192,27.428571428571427
37_03,9,674,0,0.0
37_03,10,670,0,0.0
38_01,0,1015,395,38.916256157635466
38_01,5,990,313,31.616161616161616
38_01,9,963,0,0.0
38_01,10,956,0,0.0
38_02,0,1303,397,30.46815042210284
38_02,5,1272,359,28.22327044025157
38_02,9,1238,0,0.0
38_02,10,1229,0,0.0
39_01,0,1074,396,36.87150837988827
39_01,5,1053,337,32.003798670465336
39_01,9,1032,0,0.0
39_01,10,1027,0,0.0
40_01,0,508,330,64.96062992125984
40_01,5,481,69,14.345114345114345
40_01,9,452,0,0.0
40_01,10,446,0,0.0
40_03,0,536,276,51.492537313432834
40_03,5,513,157,30.60428849902534
40_03,9,489,0,0.0
40_03,10,483,0,0.0
41_01,0,984,483,49.08536585365854
41_01,5,964,313,32.468879668049794
41_01,9,941,0,0.0
41_01,10,936,0,0.0
41_02,0,773,330,42.690815006468306
41_02,5,751,220,29.29427430093209
41_02,9,726,8,1.1019283746556474
41_02,10,719,4,0.5563282336578581
42_01,0,560,307,54.82142857142857
42_01,5,540,135,25.0
42_01,9,520,0,0.0
42_01,10,515,0,0.0
42_02,0,992,357,35.98790322580645
42_02,5,968,314,32.43801652892562
42_02,9,946,0,0.0
42_02,10,940,0,0.0
42_03,0,651,225,34.56221198156682
42_03,5,626,191,30.511182108626198
42_03,9,602,0,0.0
42_03,10,595,0,0.0
43_01,0,1005,309,30.746268656716417
43_01,5,985,301,30.558375634517766
43_01,9,961,0,0.0
43_01,10,955,0,0.0
43_02,0,875,482,55.08571428571429
43_02,5,852,193,22.652582159624412
43_02,9,828,0,0.0
43_02,10,824,0,0.0
44_01,0,547,292,53.38208409506399
44_01,5,523,108,20.650095602294456
44_01,9,500,0,0.0
44_01,10,494,0,0.0
45_01,0,1077,457,42.432683379758586
45_01,5,1047,359,34.28844317096466
45_01,9,1014,0,0.0
45_01,10,1006,0,0.0
45_02,0,738,494,66.93766937669376
45_02,5,716,132,18.435754189944134
45_02,9,697,0,0.0
45_02,10,692,0,0.0
45_03,0,515,270,52.42718446601942
45_03,5,491,144,29.327902240325866
45_03,9,468,8,1.7094017094017093
45_03,10,462,8,1.7316017316017316
46_01,0,716,513,71.64804469273743
46_01,5,672,59,8.779761904761905
46_01,9,622,0,0.0
46_01,10,613,0,0.0
46_02,0,706,294,41.64305949008499
46_02,5,687,214,31.149927219796215
46_02,9,666,0,0.0
46_02,10,662,0,0.0
46_03,0,845,313,37.0414201183432
46_03,5,812,249,30.665024630541872
46_03,9,783,20,2.554278416347382
46_03,10,773,20,2.5873221216041395
