study_id,kernel,orig_pixels,eroded_pixels,lost_pixels,lost_pct
45_01,9,20533,16320,4213,20.518190230360883
45_01,10,20533,15811,4722,22.997126576730142
45_02,5,14047,12583,1464,10.422154196625614
45_02,9,14047,11159,2888,20.559550081868014
45_02,10,14047,10809,3238,23.051185306471133
45_03,5,10400,9382,1018,9.788461538461538
45_03,9,10400,8411,1989,19.125
45_03,10,10400,8176,2224,21.384615384615383
46_01,5,12203,10793,1410,11.554535769892649
46_01,9,12203,9474,2729,22.363353273785133
46_01,10,12203,9161,3042,24.92829632057691
46_02,5,22719,21316,1403,6.17544786302214
46_02,9,22719,19953,2766,12.174831638716492
46_02,10,22719,19619,3100,13.644966767903517
46_03,5,18933,17258,1675,8.846986742724344
46_03,9,18933,15649,3284,17.3453757988697
46_03,10,18933,15255,3678,19.426398352083663
48_01,5,10692,9678,1014,9.483726150392817
48_01,9,10692,8706,1986,18.57463524130191
48_01,10,10692,8469,2223,20.791245791245792
48_02,5,29800,26903,2897,9.721476510067115
48_02,9,29800,24063,5737,19.251677852348994
48_02,10,29800,23362,6438,21.604026845637584
49_01,5,12141,10938,1203,9.908574252532741
49_01,9,12141,9779,2362,19.454740136726794
49_01,10,12141,9497,2644,21.777448315624742
50_01,5,20977,19090,1887,8.99556657291319
50_01,9,20977,17286,3691,17.595461696143396
50_01,10,20977,16847,4130,19.688229966153408
51_01,5,8244,7333,911,11.050460941290636
51_01,9,8244,6467,1777,21.555070354196992
51_01,10,8244,6257,1987,24.102377486656962
52_01,5,24446,22558,1888,7.723144890779678
52_01,9,24446,20716,3730,15.258119937822139
52_01,10,24446,20262,4184,17.11527448253293
52_02,5,20226,18917,1309,6.471867892811233
52_02,9,20226,17658,2568,12.696529219816078
52_02,10,20226,17349,2877,14.224265796499555
52_03,5,14357,12810,1547,10.775231594344222
52_03,9,14357,11317,3040,21.17434004318451
52_03,10,14357,10952,3405,23.716653897053703
53_01,5,12494,11029,1465,11.725628301584761
53_01,9,12494,9631,2863,22.914999199615817
53_01,10,12494,9293,3201,25.6202977429166
53_02,5,8018,6994,1024,12.771264654527313
53_02,9,8018,6034,1984,24.74432526814667
53_02,10,8018,5802,2216,27.637814916438014
53_03,5,25655,23950,1705,6.645877996491912
53_03,9,25655,22286,3369,13.131943091015396
53_03,10,25655,21876,3779,14.730072110699668
54_01,5,10801,9786,1015,9.397278029812055
54_01,9,10801,8815,1986,18.387186371632257
54_01,10,10801,8578,2223,20.58142764558837
54_02,5,14157,12790,1367,9.656000565091475
54_02,9,14157,11551,2606,18.407854771491134
54_02,10,14157,11254,2903,20.505756869393235
55_01,5,16164,14247,1917,11.859688195991092
55_01,9,16164,12386,3778,23.372927493194755
55_01,10,16164,11929,4235,26.20019797079931
55_02,5,3811,3214,597,15.665179742849645
55_02,9,3811,2661,1150,30.175806874836002
55_02,10,3811,2529,1282,33.63946470742587
55_03,5,15526,13932,1594,10.266649491176091
55_03,9,15526,12383,3143,20.24346257889991
55_03,10,15526,12004,3522,22.684529176864615
56_01,5,23408,21672,1736,7.416267942583732
56_01,9,23408,19977,3431,14.657382091592618
56_01,10,23408,19559,3849,16.443096377306905
56_02,5,58715,55790,2925,4.981691220301456
56_02,9,58715,52919,5796,9.87141275653581
56_02,10,58715,52209,6506,11.08064378778847
56_03,5,8421,6922,1499,17.800736254601592
56_03,9,8421,5474,2947,34.995843724023274
56_03,10,8421,5120,3301,39.199619997624986
